Name	Type	Structure	Donor	Clonal lineage	Isolation paper(Pubmed ID)	Neutralizing antibody feature	Light chain type	# of viruses tested
10-1074	gp120 V3 // V3 glycan (V3g)	4FQ2(10-1074 Fab);5T3X(Fully and Natively Glycosylated BG505 SOSIP.664 HIV-1 Env Trimer in Complex with Antibodies IOMA and 10-1074);5T3Z(Fully and Natively Glycosylated BG505 SOSIP.664 HIV-1 Env Trimer in Complex with Antibodies IOMA and 10-1074)	Donor 17	PGT121	Mouquet2012a(23115339) 	10-1074 contacts;10-1074 neutralization;10-1074 signature predictions (West2013);Key sites for PGT121-like and 10-1074-like mAbs	L	448
10-1074GM	gp120 V3 // V3 glycan (V3g)		Donor 17		Mouquet2012a(23115339) 			26
10-1074-IgG3C	gp120 V3 // V3 glycan (V3g)		Donor 17		Bournazos2016(27315478) 			119
10-1074V	gp120 V3 // V3 glycan (V3g)		Donor 17					201
10-1121	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-1130	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-1146	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-1341	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-1369	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-259	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-303	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-410	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-847	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 		L	10
10-996	gp120 V3 // V3 glycan (V3g)		Donor 17	PGT121	Mouquet2012a(23115339) 	10-996 signature predictions (West2013);Key sites for PGT121-like and 10-1074-like mAbs	L	121
10A3	gp120 V3 // V3 glycan (V3g)		uncoded_rabbit					22
10A37	gp120 V3 // V3 glycan (V3g)		uncoded_rabbit					22
10E8	gp41 MPER (membrane proximal external region)	4U6G(10E8 Fab in complex with a hydrocarbon-stapled HIV-1 gp41 MPER peptide);5IQ7(10E8-S74W Fab in complex with an HIV-1 gp41 peptide);5IQ9(10E8v4 Fab in complex with an HIV-1 gp41 peptide);4G6F(Fab 10E8 complexed with gp41 peptide)	Donor N152	10E8	Huang2012a(23151583) 	10E8 contacts;10E8 residue prediction;10E8 signature predictions (West2013);Sites affecting neutralization of 10E8	L	459
10E8-0fH/0fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-0fH/4fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-10fH/10fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-10fH/16fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-10fH/4fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-19fH/10fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-19fH/16fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-2fH/0fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-2fH/10fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8-2fH/4fL	gp41 MPER (membrane proximal external region)		Donor N152	10E8	Georgiev2014(24391217) 			21
10E8/N6	gp120 CD4BS;gp41 MPER (membrane proximal external region)							108
10E8/PGDM1400/PRO-140	gp120 V2 // V2 glycan(V2g) // V2 apex;gp41 MPER (membrane proximal external region)							105
10E8/PGT121/PGDM1400.V1	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V2	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V3	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V4	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V5	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V6	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V7	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							28
10E8/PGT121/PGDM1400.V8	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							114
10E8/PGT121/PGDM1400.V8.4DS	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							9
10E8/PGT121/PGDM1400.V8Fc	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							27
10E8/PGT121/PGDM1400.V8LL	gp120 V2 // V2 glycan(V2g) // V2 apex;gp120 V3 // V3 glycan (V3g);gp41 MPER (membrane proximal external region)							12
10E8V1.1/P140	gp41 MPER (membrane proximal external region)		Donor N152		Huang2016(27315479) 			118
10E8V2.0/iMab	gp41 MPER (membrane proximal external region)		Donor N152		Huang2016(27315479) 			147
10E8v4	C-term;gp41 MPER (membrane proximal external region)		Donor N152		Kwon2016(27053554) 			208
10E8v4-5R-100cF	gp41 MPER (membrane proximal external region)				Kwon2018(29444432) 			208
10J4			Donor N152	35O22	Huang2014(25186731) 		L	8
10M6			Donor N152	35O22	Huang2014(25186731) 		L	8
12A12	gp120 CD4BS		Patient 12	12A12	Scheid2011(21764753) 	12A12 signature predictions (West2013)	K	236
12A21	gp120 CD4BS	4JPW(12a21 in complex with 93th057 gp120 mutant)	Patient 12	12A12	Scheid2011(21764753) 	12A21 alanine scanning	K	27
